#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
141658000 ; 0.00146523 ; 3.30177 ; 0 ; 0 ; Unknown ; Unknown ; -1
141752000 ; 0.000988397 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
141843000 ; 0.00135461 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
141935000 ; 0.00128976 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
142027000 ; 0.0020527 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
142121000 ; 0.00094262 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
142207000 ; 0.00110665 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
142294000 ; 0.00140801 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
142388000 ; 0.00094262 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
142474000 ; 0.00162545 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
142566000 ; 0.00117532 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
142650000 ; 0.000835809 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
142744000 ; 0.00141564 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
142829000 ; 0.00146142 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
142925000 ; 0.00146142 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
143019000 ; 0.00112573 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
143107000 ; 0.00124398 ; 3.30307 ; 0 ; 0 ; Unknown ; Unknown ; -1
143197000 ; 0.00119058 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
143284000 ; 0.00134316 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
143379000 ; 0.00100366 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
143471000 ; 0.00148812 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
843541704 ; 0.00120202 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
843628704 ; 0.00119439 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
843714704 ; 0.00153008 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
843798704 ; 0.00156823 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
843883704 ; 0.000870141 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
843976704 ; 0.00103036 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844063704 ; 0.00424615 ; 3.30231 ; 0 ; 0 ; Unknown ; Unknown ; -1
844154704 ; 0.00152245 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844247704 ; 0.00155679 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844341704 ; 0.00102273 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844428704 ; 0.000732812 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
844522704 ; 0.000767144 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
844612704 ; 0.00133935 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
844704704 ; 0.000835809 ; 3.30284 ; 0 ; 0 ; Unknown ; Unknown ; -1
844795704 ; 0.000969323 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844882704 ; 0.00161782 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
844976704 ; 0.00119439 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
845070704 ; 0.00119439 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
845170704 ; 0.00094262 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
845265704 ; 0.00138131 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
845357704 ; 0.000919732 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
845449704 ; 0.00147668 ; 3.30025 ; 0 ; 0 ; Unknown ; Unknown ; -1
845537704 ; 0.00173226 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
845627704 ; 0.00149194 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
845712704 ; 0.0011715 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
845806704 ; 0.00194589 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
845898704 ; 0.000759515 ; 3.30162 ; 0 ; 0 ; Unknown ; Unknown ; -1
845989704 ; 4.40749 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
846084704 ; 4.40627 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
